recruiter_id,company_id,email_outcome,phone_outcome,location_outcome,overall_outcome,rejection_reason
13195,55582,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
13196,55582,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
13197,55582,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16424,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16425,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16426,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16427,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16428,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16429,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16430,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16431,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16432,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16433,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16434,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16435,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
16436,48664,SKIPPED_ALREADY_ENRICHED,SKIPPED,SKIPPED,SKIPPED_ALREADY_ENRICHED,
