date,campaign_id,seller_id,category,daily_budget,ad_spend,impressions,clicks,orders,attributed_sales
2024-04-10,C1146,S2113,Electronics,1070.76,490.93,6795,31,0,0.0
2024-04-19,C1119,S2092,Fashion,4462.32,2169.82,13760,154,4,3641.72
2024-06-17,C1093,S2073,Fashion,310.74,215.99,1475,17,0,0.0
2024-06-02,C1012,S2008,Sports,493.27,468.18,4974,40,0,0.0
2024-04-20,C1134,S2103,Fashion,4914.35,1862.61,21600,148,9,7394.79
2024-04-03,C1154,S2118,Beauty,2961.47,1379.54,15589,95,9,11010.26
2024-05-30,C1100,S2078,Home,573.21,573.21,4034,31,0,0.0
2024-05-14,C1047,S2035,Beauty,7572.74,3425.64,21506,260,15,18489.8
2024-05-23,C1039,S2029,Electronics,315.53,140.91,1165,7,0,0.0
2024-05-22,C1120,S2093,Electronics,1010.09,452.21,6866,23,2,4721.86
2024-05-29,C1138,S2106,Beauty,2302.32,1045.14,7964,79,7,9865.4
2024-05-02,C1149,S2115,Electronics,3925.63,1773.52,20995,115,4,10434.41
2024-06-08,C1107,S2082,Sports,324.12,324.12,5196,38,0,0.0
2024-05-15,C1113,S2086,Sports,14336.78,6301.28,127272,585,13,17445.76
2024-05-19,C1079,S2061,Sports,5386.43,3233.14,42184,288,14,21486.21
2024-06-11,C1030,S2022,Beauty,7500.86,7500.86,47074,511,46,50411.38
2024-05-27,C1003,S2002,Sports,732.87,390.48,4183,38,3,3808.12
2024-06-23,C1052,S2040,Sports,17666.34,5648.0,71113,485,9,11714.28
2024-06-08,C1064,S2049,Home,293.65,127.43,994,10,0,0.0
2024-05-09,C1055,S2043,Beauty,2688.05,976.48,7175,62,4,5124.38
2024-05-25,C1017,S2012,Electronics,11302.53,10060.82,89459,570,20,41563.31
2024-06-22,C1120,S2093,Electronics,1010.09,359.04,3660,16,1,2502.34
2024-04-03,C1152,S2117,Beauty,6816.97,6816.97,54098,644,72,87897.91
2024-05-30,C1012,S2008,Sports,493.27,493.27,5747,49,0,0.0
2024-05-23,C1073,S2056,Electronics,8751.38,7859.39,35765,261,17,45232.23
2024-05-07,C1003,S2002,Sports,732.87,431.09,5096,42,0,0.0
2024-05-09,C1149,S2115,Electronics,3925.63,1799.88,24143,112,4,9293.36
2024-05-06,C1119,S2092,Fashion,4462.32,2664.64,20460,198,2,1668.04
2024-06-06,C1082,S2063,Sports,4457.67,2666.7,29896,240,7,10352.26
2024-05-21,C1036,S2026,Home,994.55,994.55,6704,71,0,0.0
2024-04-25,C1017,S2012,Electronics,11302.53,11302.53,90807,675,13,24925.52
2024-04-02,C1149,S2115,Electronics,3925.63,2049.29,31264,139,5,11484.99
2024-06-20,C1015,S2011,Sports,4710.93,2126.61,24634,149,7,10014.02
2024-04-11,C1113,S2086,Sports,14336.78,5490.41,116456,509,12,17001.65
2024-04-12,C1016,S2012,Home,9001.07,9001.07,133483,906,37,61434.02
2024-05-07,C1056,S2044,Beauty,690.55,295.07,1191,16,2,3126.28
2024-06-02,C1044,S2032,Sports,657.38,283.23,2216,26,1,1023.94
2024-04-17,C1068,S2052,Electronics,835.86,361.76,2268,21,1,2879.09
2024-05-22,C1001,S2001,Sports,943.48,488.47,3404,31,0,0.0
2024-06-09,C1160,S2124,Fashion,10141.84,6075.18,23803,386,8,5674.1
